AFORE,SIEFORE,Fecha,IRN,Ranking
  Azteca,SB Final,ene-21,5.85,8
  Citibanamex,SB Final,ene-21,6.45,2
  Coppel,SB Final,ene-21,5.68,10
  Inbursa,SB Final,ene-21,5.87,7
  Invercap,SB Final,ene-21,5.72,9
  PensionISSSTE,SB Final,ene-21,6.25,4
  Principal,SB Final,ene-21,6.00,5
  Profuturo,SB Final,ene-21,5.93,6
  SURA,SB Final,ene-21,6.88,1
  XXI-Banorte,SB Final,ene-21,6.28,3
  Azteca,SB Final,feb-21,5.95,7
  Citibanamex,SB Final,feb-21,6.55,2
  Coppel,SB Final,feb-21,5.74,10
  Inbursa,SB Final,feb-21,5.85,8
  Invercap,SB Final,feb-21,5.80,9
  PensionISSSTE,SB Final,feb-21,6.29,4
  Principal,SB Final,feb-21,6.06,5
  Profuturo,SB Final,feb-21,6.01,6
  SURA,SB Final,feb-21,6.98,1
  XXI-Banorte,SB Final,feb-21,6.35,3
  Azteca,SB Final,mar-21,6.03,7
  Citibanamex,SB Final,mar-21,6.57,2
  Coppel,SB Final,mar-21,5.80,10
  Inbursa,SB Final,mar-21,5.85,9
  Invercap,SB Final,mar-21,5.88,8
  PensionISSSTE,SB Final,mar-21,6.34,4
  Principal,SB Final,mar-21,6.10,5
  Profuturo,SB Final,mar-21,6.06,6
  SURA,SB Final,mar-21,7.02,1
  XXI-Banorte,SB Final,mar-21,6.37,3
  Azteca,SB Final,abr-21,6.11,6
  Citibanamex,SB Final,abr-21,6.54,2
  Coppel,SB Final,abr-21,5.85,9
  Inbursa,SB Final,abr-21,5.83,10
  Invercap,SB Final,abr-21,5.95,8
  PensionISSSTE,SB Final,abr-21,6.37,4
  Principal,SB Final,abr-21,6.13,5
  Profuturo,SB Final,abr-21,6.09,7
  SURA,SB Final,abr-21,7.03,1
  XXI-Banorte,SB Final,abr-21,6.38,3
  Azteca,SB Final,may-21,6.16,5
  Citibanamex,SB Final,may-21,6.49,2
  Coppel,SB Final,may-21,5.89,9
  Inbursa,SB Final,may-21,5.83,10
  Invercap,SB Final,may-21,6.00,8
  PensionISSSTE,SB Final,may-21,6.40,3
  Principal,SB Final,may-21,6.14,6
  Profuturo,SB Final,may-21,6.09,7
  SURA,SB Final,may-21,7.02,1
  XXI-Banorte,SB Final,may-21,6.38,4
  Azteca,SB Final,jun-21,6.16,5
  Citibanamex,SB Final,jun-21,6.41,2
  Coppel,SB Final,jun-21,5.91,9
  Inbursa,SB Final,jun-21,5.83,10
  Invercap,SB Final,jun-21,6.00,8
  PensionISSSTE,SB Final,jun-21,6.39,3
  Principal,SB Final,jun-21,6.12,6
  Profuturo,SB Final,jun-21,6.05,7
  SURA,SB Final,jun-21,6.94,1
  XXI-Banorte,SB Final,jun-21,6.33,4
  Azteca,SB Final,jul-21,6.11,5
  Citibanamex,SB Final,jul-21,6.25,3
  Coppel,SB Final,jul-21,5.89,9
  Inbursa,SB Final,jul-21,5.82,10
  Invercap,SB Final,jul-21,5.95,8
  PensionISSSTE,SB Final,jul-21,6.36,2
  Principal,SB Final,jul-21,6.05,6
  Profuturo,SB Final,jul-21,5.97,7
  SURA,SB Final,jul-21,6.82,1
  XXI-Banorte,SB Final,jul-21,6.24,4
  Azteca,SB Final,ago-21,6.00,5
  Citibanamex,SB Final,ago-21,6.04,4
  Coppel,SB Final,ago-21,5.83,8
  Inbursa,SB Final,ago-21,5.80,10
  Invercap,SB Final,ago-21,5.85,7
  PensionISSSTE,SB Final,ago-21,6.26,2
  Principal,SB Final,ago-21,5.94,6
  Profuturo,SB Final,ago-21,5.83,9
  SURA,SB Final,ago-21,6.65,1
  XXI-Banorte,SB Final,ago-21,6.10,3
  Azteca,SB Final,sep-21,5.94,4
  Citibanamex,SB Final,sep-21,5.93,5
  Coppel,SB Final,sep-21,5.80,7
  Inbursa,SB Final,sep-21,5.77,9
  Invercap,SB Final,sep-21,5.77,8
  PensionISSSTE,SB Final,sep-21,6.19,2
  Principal,SB Final,sep-21,5.86,6
  Profuturo,SB Final,sep-21,5.74,10
  SURA,SB Final,sep-21,6.54,1
  XXI-Banorte,SB Final,sep-21,6.02,3
  Azteca,SB Final,oct-21,5.89,5
  Citibanamex,SB Final,oct-21,5.90,4
  Coppel,SB Final,oct-21,5.78,7
  Inbursa,SB Final,oct-21,5.77,8
  Invercap,SB Final,oct-21,5.73,9
  PensionISSSTE,SB Final,oct-21,6.16,2
  Principal,SB Final,oct-21,5.82,6
  Profuturo,SB Final,oct-21,5.68,10
  SURA,SB Final,oct-21,6.46,1
  XXI-Banorte,SB Final,oct-21,5.98,3
  Azteca,SB Final,nov-21,5.85,5
  Citibanamex,SB Final,nov-21,5.90,4
  Coppel,SB Final,nov-21,5.76,8
  Inbursa,SB Final,nov-21,5.78,7
  Invercap,SB Final,nov-21,5.69,9
  PensionISSSTE,SB Final,nov-21,6.12,2
  Principal,SB Final,nov-21,5.79,6
  Profuturo,SB Final,nov-21,5.64,10
  SURA,SB Final,nov-21,6.39,1
  XXI-Banorte,SB Final,nov-21,5.95,3
  Azteca,SB Final,dic-21,5.81,5
  Citibanamex,SB Final,dic-21,5.87,4
  Coppel,SB Final,dic-21,5.74,8
  Inbursa,SB Final,dic-21,5.79,6
  Invercap,SB Final,dic-21,5.65,9
  PensionISSSTE,SB Final,dic-21,6.09,2
  Principal,SB Final,dic-21,5.75,7
  Profuturo,SB Final,dic-21,5.59,10
  SURA,SB Final,dic-21,6.32,1
  XXI-Banorte,SB Final,dic-21,5.92,3
  Azteca,SB 55-59,ene-21,6.56,7
  Citibanamex,SB 55-59,ene-21,6.71,5
  Coppel,SB 55-59,ene-21,6.42,8
  Inbursa,SB 55-59,ene-21,6.75,4
  Invercap,SB 55-59,ene-21,6.10,10
  PensionISSSTE,SB 55-59,ene-21,6.87,3
  Principal,SB 55-59,ene-21,6.28,9
  Profuturo,SB 55-59,ene-21,7.01,2
  SURA,SB 55-59,ene-21,7.08,1
  XXI-Banorte,SB 55-59,ene-21,6.60,6
  Azteca,SB 55-59,feb-21,6.64,7
  Citibanamex,SB 55-59,feb-21,6.81,4
  Coppel,SB 55-59,feb-21,6.52,8
  Inbursa,SB 55-59,feb-21,6.77,5
  Invercap,SB 55-59,feb-21,6.21,10
  PensionISSSTE,SB 55-59,feb-21,6.94,3
  Principal,SB 55-59,feb-21,6.38,9
  Profuturo,SB 55-59,feb-21,7.13,2
  SURA,SB 55-59,feb-21,7.25,1
  XXI-Banorte,SB 55-59,feb-21,6.68,6
  Azteca,SB 55-59,mar-21,6.72,7
  Citibanamex,SB 55-59,mar-21,6.85,4
  Coppel,SB 55-59,mar-21,6.60,8
  Inbursa,SB 55-59,mar-21,6.79,5
  Invercap,SB 55-59,mar-21,6.31,10
  PensionISSSTE,SB 55-59,mar-21,7.01,3
  Principal,SB 55-59,mar-21,6.46,9
  Profuturo,SB 55-59,mar-21,7.21,2
  SURA,SB 55-59,mar-21,7.38,1
  XXI-Banorte,SB 55-59,mar-21,6.72,6
  Azteca,SB 55-59,abr-21,6.78,6
  Citibanamex,SB 55-59,abr-21,6.82,4
  Coppel,SB 55-59,abr-21,6.64,8
  Inbursa,SB 55-59,abr-21,6.80,5
  Invercap,SB 55-59,abr-21,6.39,10
  PensionISSSTE,SB 55-59,abr-21,7.06,3
  Principal,SB 55-59,abr-21,6.51,9
  Profuturo,SB 55-59,abr-21,7.25,2
  SURA,SB 55-59,abr-21,7.47,1
  XXI-Banorte,SB 55-59,abr-21,6.74,7
  Azteca,SB 55-59,may-21,6.81,5
  Citibanamex,SB 55-59,may-21,6.78,6
  Coppel,SB 55-59,may-21,6.65,8
  Inbursa,SB 55-59,may-21,6.82,4
  Invercap,SB 55-59,may-21,6.43,10
  PensionISSSTE,SB 55-59,may-21,7.10,3
  Principal,SB 55-59,may-21,6.53,9
  Profuturo,SB 55-59,may-21,7.26,2
  SURA,SB 55-59,may-21,7.51,1
  XXI-Banorte,SB 55-59,may-21,6.74,7
  Azteca,SB 55-59,jun-21,6.79,5
  Citibanamex,SB 55-59,jun-21,6.70,7
  Coppel,SB 55-59,jun-21,6.62,8
  Inbursa,SB 55-59,jun-21,6.83,4
  Invercap,SB 55-59,jun-21,6.42,10
  PensionISSSTE,SB 55-59,jun-21,7.11,3
  Principal,SB 55-59,jun-21,6.51,9
  Profuturo,SB 55-59,jun-21,7.23,2
  SURA,SB 55-59,jun-21,7.46,1
  XXI-Banorte,SB 55-59,jun-21,6.72,6
  Azteca,SB 55-59,jul-21,6.70,5
  Citibanamex,SB 55-59,jul-21,6.52,8
  Coppel,SB 55-59,jul-21,6.52,7
  Inbursa,SB 55-59,jul-21,6.80,4
  Invercap,SB 55-59,jul-21,6.33,10
  PensionISSSTE,SB 55-59,jul-21,7.05,3
  Principal,SB 55-59,jul-21,6.43,9
  Profuturo,SB 55-59,jul-21,7.10,2
  SURA,SB 55-59,jul-21,7.31,1
